periodid,periodname,periodcode,perioddescription,organisationunitname,cholera cases 5 years +,cholera cases under 5 years,cholera deaths 5 years +,cholera deaths under 5 years
201401,Jan-14,201401,,ha Caledonia sate,0,0,0,0
201401,Jan-14,201401,,ha Eastley FHS Clinic,0,0,0,0
201401,Jan-14,201401,,ha Chitungwiza Central Hospital,0,0,0,0
201401,Jan-14,201401,,ha Harare Central Hospital,0,0,0,0
201401,Jan-14,201401,,ha Parirenyatwa Group of Hospitals,0,0,0,0
201401,Jan-14,201401,,ha Greendale FHS Clinic,0,0,0,0
201401,Jan-14,201401,,ha Highlands Primary Care Clinic,0,0,0,0
201401,Jan-14,201401,,ha Mabvuku PolyClinic,0,0,0,0
201401,Jan-14,201401,,ha Mabvuku Satellite,0,0,0,0
201401,Jan-14,201401,,ha Manyame Airbase Hospital,0,0,0,0
201401,Jan-14,201401,,ha Pacific,0,0,0,0
201401,Jan-14,201401,,ha Tafara FHS Clinic,0,0,0,0
201401,Jan-14,201401,,ha Arcadia Clinic,0,0,0,0
201401,Jan-14,201401,,ha Arcadia Medical Center,0,0,0,0
201401,Jan-14,201401,,ha Avenues Clinic Hospital,0,0,0,0
201401,Jan-14,201401,,ha Baines Avenue Clinic,0,0,0,0
201401,Jan-14,201401,,ha Braeside FHS Clinic,0,0,0,0
201401,Jan-14,201401,,ha Cimas Chinhoyi Clinic,0,0,0,0
201401,Jan-14,201401,,ha Delta Graniteside Clinic,0,0,0,0
201401,Jan-14,201401,,ha Gonda Hospital,0,0,0,0
201401,Jan-14,201401,,ha Harare City Private Institutions,0,0,0,0
201401,Jan-14,201401,,ha Harare Polytechnic Clinic,0,0,0,0
201401,Jan-14,201401,,ha Harare city centre VMMC clinic,0,0,0,0
201401,Jan-14,201401,,ha Hatfield Clinic,0,0,0,0
201401,Jan-14,201401,,ha Insco Wellness Clinic,0,0,0,0
201401,Jan-14,201401,,ha Metropolitan Clinic,0,0,0,0
201401,Jan-14,201401,,ha New Cranborne,0,0,0,0
201401,Jan-14,201401,,"ha PSI New start Centre, Kwame",0,0,0,0
201401,Jan-14,201401,,ha Parirenyatwa Clinic,0,0,0,0
201401,Jan-14,201401,,ha Prospect Palms,0,0,0,0
201401,Jan-14,201401,,ha Queen of Peace,0,0,0,0
201401,Jan-14,201401,,ha Red Crescent Society,0,0,0,0
201401,Jan-14,201401,,ha Roland Square Clinic,0,0,0,0
201401,Jan-14,201401,,ha St Annes Hospital,0,0,0,0
201401,Jan-14,201401,,ha West End Hospital,0,0,0,0
201401,Jan-14,201401,,ha Beatrice Road Hospital,0,0,0,0
201401,Jan-14,201401,,ha Wilkins Infectious Diseases Hospital,0,0,0,0
201401,Jan-14,201401,,ha Avondale Clinic,0,0,0,0
201401,Jan-14,201401,,ha Belvedere Satellite Clinic,0,0,0,0
201401,Jan-14,201401,,ha Mabelreign Satellite Clinic,0,0,0,0
201401,Jan-14,201401,,ha Marlborough Satellite Clinic,0,0,0,0
201401,Jan-14,201401,,ha Roland Square clini,0,0,0,0
201401,Jan-14,201401,,ha Rujeko PolyClinic,0,0,0,0
201401,Jan-14,201401,,ha ZAPSO,0,0,0,0
201401,Jan-14,201401,,ha Borrowdale Clinic,0,0,0,0
201401,Jan-14,201401,,ha Hatcliffe PolyClinic,0,0,0,0
201401,Jan-14,201401,,ha Highlands FHS Clinic,0,0,0,0
201401,Jan-14,201401,,ha Morris Depot Camp Hospital,0,0,0,0
201401,Jan-14,201401,,ha Mount Pleasant Clinic,0,0,0,0
201401,Jan-14,201401,,ha Newlands Clinic,0,0,0,0
201401,Jan-14,201401,,ha University of Zimbabwe,0,0,0,0
201401,Jan-14,201401,,ha Glen Norah Medical Centre,0,0,0,0
201401,Jan-14,201401,,ha Glen Norah Satellite Clinic,0,0,0,0
201401,Jan-14,201401,,ha Highfield PolyClinic,0,0,0,0
201401,Jan-14,201401,,ha Rutsanana PolyClinic,0,0,0,0
201401,Jan-14,201401,,ha Southerton Clinic,0,0,0,0
201401,Jan-14,201401,,ha Spilhaus,0,0,0,0
201401,Jan-14,201401,,ha Spilhaus_Data,0,0,0,0
201401,Jan-14,201401,,ha Vee’s Health Centre,0,0,0,0
201401,Jan-14,201401,,ha Western Triangle Clinic,0,0,0,0
201401,Jan-14,201401,,ha Dunameon,0,0,0,0
201401,Jan-14,201401,,ha Hopley Clinic,0,0,0,0
201401,Jan-14,201401,,ha Matapi Clinic,0,0,0,0
201401,Jan-14,201401,,ha Mbare Hostels Clinic,0,0,0,0
201401,Jan-14,201401,,ha Mbare PolyClinic,0,0,0,0
201401,Jan-14,201401,,ha Sunningdale Clinic,0,0,0,0
201401,Jan-14,201401,,ha Waterfalls Clinic,0,0,0,0
201401,Jan-14,201401,,ha Budiriro PolyClinic,0,0,0,0
201401,Jan-14,201401,,ha Budiriro Satellite Clinic,0,0,0,0
201401,Jan-14,201401,,ha Glen View Maternity Home,0,0,0,0
201401,Jan-14,201401,,ha Glen View PolyClinic,0,0,0,0
201401,Jan-14,201401,,ha Glen View Satellite Clinic,0,0,0,0
201401,Jan-14,201401,,ha Mufakose PolyClinic,0,0,0,0
201401,Jan-14,201401,,ha Starlight,0,0,0,0
201401,Jan-14,201401,,ha Kambuzuma PolyClinic,0,0,0,0
201401,Jan-14,201401,,ha Kuwadzana Phase 4,0,0,0,0
201401,Jan-14,201401,,ha Kuwadzana PolyClinic,0,0,0,0
201401,Jan-14,201401,,ha Warren Park PolyClinic,0,0,0,0
201402,Feb-14,201402,,ha Caledonia sate,0,0,0,0
201402,Feb-14,201402,,ha Eastley FHS Clinic,0,0,0,0
201402,Feb-14,201402,,ha Chitungwiza Central Hospital,0,0,0,0
201402,Feb-14,201402,,ha Harare Central Hospital,0,0,0,0
201402,Feb-14,201402,,ha Parirenyatwa Group of Hospitals,0,0,0,0
201402,Feb-14,201402,,ha Greendale FHS Clinic,0,0,0,0
201402,Feb-14,201402,,ha Highlands Primary Care Clinic,0,0,0,0
201402,Feb-14,201402,,ha Mabvuku PolyClinic,0,0,0,0
201402,Feb-14,201402,,ha Mabvuku Satellite,0,0,0,0
201402,Feb-14,201402,,ha Manyame Airbase Hospital,0,0,0,0
201402,Feb-14,201402,,ha Pacific,0,0,0,0
201402,Feb-14,201402,,ha Tafara FHS Clinic,0,0,0,0
201402,Feb-14,201402,,ha Arcadia Clinic,0,0,0,0
201402,Feb-14,201402,,ha Arcadia Medical Center,0,0,0,0
201402,Feb-14,201402,,ha Avenues Clinic Hospital,0,0,0,0
201402,Feb-14,201402,,ha Baines Avenue Clinic,0,0,0,0
201402,Feb-14,201402,,ha Braeside FHS Clinic,0,0,0,0
201402,Feb-14,201402,,ha Cimas Chinhoyi Clinic,0,0,0,0
201402,Feb-14,201402,,ha Delta Graniteside Clinic,0,0,0,0
201402,Feb-14,201402,,ha Gonda Hospital,0,0,0,0
201402,Feb-14,201402,,ha Harare City Private Institutions,0,0,0,0
